Date : 2024-03-14 13:43:35
Directory : c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama
Total : 149 files,  4742 codes, 437 comments, 655 blanks, all 5834 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| Dart       |         68 |      2,947 |        166 |        326 |      3,439 |
| XML        |         43 |        723 |         48 |         45 |        816 |
| C++        |         16 |        531 |        121 |        182 |        834 |
| JSON       |          4 |        248 |          0 |          4 |        252 |
| Gradle     |          3 |        101 |          5 |         23 |        129 |
| Swift      |          6 |         50 |          7 |         20 |         77 |
| YAML       |          2 |         47 |         74 |         26 |        147 |
| HTML       |          1 |         38 |         16 |          6 |         60 |
| CMake      |          2 |         36 |          0 |         12 |         48 |
| Markdown   |          2 |         13 |          0 |          9 |         22 |
| Properties |          2 |          8 |          0 |          2 |         10 |
+------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                            | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                               |        149 |      4,742 |        437 |        655 |      5,834 |
| . (Files)                                                                                                                       |          3 |         57 |         74 |         33 |        164 |
| android                                                                                                                         |         12 |        168 |         51 |         34 |        253 |
| android (Files)                                                                                                                 |          3 |         53 |          0 |         12 |         65 |
| android\app                                                                                                                     |          8 |        110 |         51 |         21 |        182 |
| android\app (Files)                                                                                                             |          1 |         51 |          5 |         12 |         68 |
| android\app\src                                                                                                                 |          7 |         59 |         46 |          9 |        114 |
| android\app\src\debug                                                                                                           |          1 |          3 |          4 |          1 |          8 |
| android\app\src\main                                                                                                            |          5 |         53 |         38 |          7 |         98 |
| android\app\src\main (Files)                                                                                                    |          1 |         27 |          6 |          1 |         34 |
| android\app\src\main\res                                                                                                        |          4 |         26 |         32 |          6 |         64 |
| android\app\src\main\res\drawable                                                                                               |          1 |          4 |          7 |          2 |         13 |
| android\app\src\main\res\drawable-v21                                                                                           |          1 |          4 |          7 |          2 |         13 |
| android\app\src\main\res\values                                                                                                 |          1 |          9 |          9 |          1 |         19 |
| android\app\src\main\res\values-night                                                                                           |          1 |          9 |          9 |          1 |         19 |
| android\app\src\profile                                                                                                         |          1 |          3 |          4 |          1 |          8 |
| android\gradle                                                                                                                  |          1 |          5 |          0 |          1 |          6 |
| android\gradle\wrapper                                                                                                          |          1 |          5 |          0 |          1 |          6 |
| assets                                                                                                                          |         26 |        121 |          0 |         26 |        147 |
| assets\icons                                                                                                                    |         26 |        121 |          0 |         26 |        147 |
| ios                                                                                                                             |         12 |        320 |          4 |         17 |        341 |
| ios\Flutter                                                                                                                     |          1 |         26 |          0 |          1 |         27 |
| ios\Runner                                                                                                                      |          8 |        271 |          2 |         10 |        283 |
| ios\Runner (Files)                                                                                                              |          3 |         62 |          0 |          4 |         66 |
| ios\Runner.xcodeproj                                                                                                            |          1 |          8 |          0 |          1 |          9 |
| ios\Runner.xcodeproj\project.xcworkspace                                                                                        |          1 |          8 |          0 |          1 |          9 |
| ios\Runner.xcodeproj\project.xcworkspace\xcshareddata                                                                           |          1 |          8 |          0 |          1 |          9 |
| ios\Runner.xcworkspace                                                                                                          |          1 |          8 |          0 |          1 |          9 |
| ios\Runner.xcworkspace\xcshareddata                                                                                             |          1 |          8 |          0 |          1 |          9 |
| ios\RunnerTests                                                                                                                 |          1 |          7 |          2 |          4 |         13 |
| ios\Runner\Assets.xcassets                                                                                                      |          3 |        148 |          0 |          4 |        152 |
| ios\Runner\Assets.xcassets\AppIcon.appiconset                                                                                   |          1 |        122 |          0 |          1 |        123 |
| ios\Runner\Assets.xcassets\LaunchImage.imageset                                                                                 |          2 |         26 |          0 |          3 |         29 |
| ios\Runner\Base.lproj                                                                                                           |          2 |         61 |          2 |          2 |         65 |
| lib                                                                                                                             |         67 |      2,933 |        156 |        319 |      3,408 |
| lib (Files)                                                                                                                     |          1 |         23 |          0 |          4 |         27 |
| lib\constants                                                                                                                   |          3 |        230 |         94 |         69 |        393 |
| lib\controller                                                                                                                  |          1 |         14 |          0 |          4 |         18 |
| lib\helper                                                                                                                      |          2 |         62 |          0 |         12 |         74 |
| lib\model                                                                                                                       |          5 |        124 |          1 |         20 |        145 |
| lib\utils                                                                                                                       |          7 |        271 |          0 |         32 |        303 |
| lib\view                                                                                                                        |         48 |      2,209 |         61 |        178 |      2,448 |
| lib\view (Files)                                                                                                                |          2 |         34 |          0 |          6 |         40 |
| lib\view\dashboard                                                                                                              |         13 |        734 |          0 |         55 |        789 |
| lib\view\dashboard (Files)                                                                                                      |          2 |         69 |          0 |          5 |         74 |
| lib\view\dashboard\widgets                                                                                                      |         11 |        665 |          0 |         50 |        715 |
| lib\view\drawer                                                                                                                 |          4 |        168 |          5 |         15 |        188 |
