"filename", "language", "Dart", "comment", "blank", "total"
"c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\lib\controller\add_new_student_controller.dart", "Dart", 18, 0, 5, 23
"c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\lib\controller\dashboard_controller.dart", "Dart", 48, 19, 14, 81
"c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\lib\controller\drawer_controller.dart", "Dart", 19, 0, 4, 23
"c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\lib\controller\navigations_controller.dart", "Dart", 89, 2, 16, 107
"c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\lib\core\constants\app_colors.dart", "Dart", 18, 0, 2, 20
"c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\lib\core\constants\app_font_style.dart", "Dart", 190, 8, 25, 223
"c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\lib\core\constants\assets.dart", "Dart", 61, 116, 60, 237
"c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\lib\core\constants\constants.dart", "Dart", 0, 0, 3, 3
"c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\lib\core\enum\enum_pament.dart", "Dart", 8, 0, 0, 8
"c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\lib\core\enum\navigations_enum.dart", "Dart", 1, 0, 1, 2
"c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\lib\core\helper\color_extention.dart", "Dart", 30, 0, 4, 34
"c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\lib\core\helper\custom_grid_painter.dart", "Dart", 32, 0, 8, 40
"c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\lib\core\helper\date.dart", "Dart", 53, 0, 8, 61
"c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\lib\core\my_services.dart", "Dart", 48, 6, 16, 70
"c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\lib\core\shared\contacts.dart", "Dart", 43, 0, 2, 45
"c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\lib\core\shared\container_header_with_radius_and_color_with_text.dart", "Dart", 28, 0, 2, 30
"c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\lib\core\shared\create_column.dart", "Dart", 35, 0, 2, 37
"c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\lib\core\shared\custom_button.dart", "Dart", 76, 0, 3, 79
"c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\lib\core\shared\custom_disconnect_contaniar.dart", "Dart", 55, 1, 8, 64
"c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\lib\core\shared\custom_text_from_feild.dart", "Dart", 47, 0, 5, 52
"c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\lib\core\shared\save_and_submit_button.dart", "Dart", 25, 0, 3, 28
"c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\lib\core\shared\search_with_new_user.dart", "Dart", 51, 0, 2, 53
"c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\lib\core\shared\title_with_text_field.dart", "Dart", 45, 0, 2, 47
"c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\lib\core\utils\adaptive_layout_widget.dart", "Dart", 21, 0, 3, 24
"c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\lib\core\utils\circle_button_with_border.dart", "Dart", 36, 0, 2, 38
"c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\lib\core\utils\custom_search.dart", "Dart", 42, 0, 4, 46
"c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\lib\core\utils\header_with_search.dart", "Dart", 54, 0, 2, 56
"c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\lib\core\utils\pagination.dart", "Dart", 90, 0, 3, 93
"c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\lib\core\utils\row_info.dart", "Dart", 35, 0, 4, 39
"c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\lib\core\utils\size_config.dart", "Dart", 10, 0, 4, 14
"c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\lib\main.dart", "Dart", 25, 0, 4, 29
"c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\lib\model\class_model.dart", "Dart", 89, 0, 4, 93
"c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\lib\model\dashboard_item_model.dart", "Dart", 36, 0, 4, 40
"c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\lib\model\date_model.dart", "Dart", 15, 0, 2, 17
"c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\lib\model\drawer_item_model.dart", "Dart", 15, 5, 3, 23
"c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\lib\model\item_card_user_model.dart", "Dart", 12, 1, 4, 17
"c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\lib\model\schedule_details_model.dart", "Dart", 45, 0, 4, 49
"c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\lib\model\student_payment_model.dart", "Dart", 14, 0, 3, 17
"c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\lib\view\classes\classes.dart", "Dart", 9, 0, 2, 11
"c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\lib\view\classes\classes_with_trailing.dart", "Dart", 30, 0, 2, 32
"c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\lib\view\classes\widgets\classes_grid_view.dart", "Dart", 28, 0, 3, 31
"c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\lib\view\classes\widgets\classes_grid_view_item.dart", "Dart", 57, 0, 3, 60
