Date : 2024-03-20 18:12:22
Directory : c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\lib
Total : 108 files,  4874 codes, 216 comments, 493 blanks, all 5583 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| Dart     |        108 |      4,874 |        216 |        493 |      5,583 |
+----------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                            | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                               |        108 |      4,874 |        216 |        493 |      5,583 |
| . (Files)                                                                                                                       |          1 |         25 |          0 |          4 |         29 |
| controller                                                                                                                      |          4 |        174 |         21 |         39 |        234 |
| core                                                                                                                            |         26 |      1,134 |        131 |        178 |      1,443 |
| core (Files)                                                                                                                    |          1 |         48 |          6 |         16 |         70 |
| core\constants                                                                                                                  |          4 |        269 |        124 |         90 |        483 |
| core\enum                                                                                                                       |          2 |          9 |          0 |          1 |         10 |
| core\helper                                                                                                                     |          3 |        115 |          0 |         20 |        135 |
| core\shared                                                                                                                     |          9 |        405 |          1 |         29 |        435 |
| core\utils                                                                                                                      |          7 |        288 |          0 |         22 |        310 |
| model                                                                                                                           |          7 |        226 |          6 |         24 |        256 |
| view                                                                                                                            |         70 |      3,315 |         58 |        248 |      3,621 |
| view (Files)                                                                                                                    |          2 |         41 |          0 |          7 |         48 |
| view\classes                                                                                                                    |          4 |        124 |          0 |         10 |        134 |
| view\classes (Files)                                                                                                            |          2 |         39 |          0 |          4 |         43 |
| view\classes\widgets                                                                                                            |          2 |         85 |          0 |          6 |         91 |
| view\dashboard                                                                                                                  |         13 |        792 |          0 |         54 |        846 |
| view\dashboard (Files)                                                                                                          |          2 |         71 |          0 |          5 |         76 |
| view\dashboard\widgets                                                                                                          |         11 |        721 |          0 |         49 |        770 |
| view\drawer                                                                                                                     |          4 |        167 |          5 |         15 |        187 |
| view\drawer (Files)                                                                                                             |          1 |         36 |          0 |          4 |         40 |
| view\drawer\widgets                                                                                                             |          3 |        131 |          5 |         11 |        147 |
| view\new_student                                                                                                                |          4 |        234 |          0 |         18 |        252 |
| view\new_student (Files)                                                                                                        |          1 |         30 |          0 |          4 |         34 |
| view\new_student\widgets                                                                                                        |          3 |        204 |          0 |         14 |        218 |
| view\new_teatcher                                                                                                               |          4 |        228 |          0 |         17 |        245 |
| view\new_teatcher (Files)                                                                                                       |          1 |         30 |          0 |          4 |         34 |
| view\new_teatcher\widgets                                                                                                       |          3 |        198 |          0 |         13 |        211 |
| view\student_details                                                                                                            |          4 |        165 |          0 |         12 |        177 |
| view\student_details (Files)                                                                                                    |          2 |         59 |          0 |          4 |         63 |
| view\student_details\widgets                                                                                                    |          2 |        106 |          0 |          8 |        114 |
| view\teacher_details                                                                                                            |          4 |        202 |         41 |         20 |        263 |
| view\teacher_details (Files)                                                                                                    |          2 |         77 |         41 |         15 |        133 |
| view\teacher_details\widgets                                                                                                    |          2 |        125 |          0 |          5 |        130 |
| view\trailing_classes                                                                                                           |          2 |        117 |          0 |          5 |        122 |
| view\trailing_classes (Files)                                                                                                   |          1 |         27 |          0 |          2 |         29 |
| view\trailing_classes\widgets                                                                                                   |          1 |         90 |          0 |          3 |         93 |
| view\trailing_dashboard                                                                                                         |          5 |        234 |          7 |         18 |        259 |
| view\trailing_dashboard (Files)                                                                                                 |          1 |         25 |          0 |          4 |         29 |
| view\trailing_dashboard\widgets                                                                                                 |          4 |        209 |          7 |         14 |        230 |
| view\trailing_teacher                                                                                                           |          5 |        196 |          0 |         14 |        210 |
| view\trailing_teacher (Files)                                                                                                   |          1 |         19 |          0 |          3 |         22 |
| view\trailing_teacher\widgets                                                                                                   |          4 |        177 |          0 |         11 |        188 |
| view\users_details                                                                                                              |         13 |        477 |          5 |         40 |        522 |
| view\users_details (Files)                                                                                                      |          2 |         53 |          0 |          6 |         59 |
| view\users_details\widgets                                                                                                      |         11 |        424 |          5 |         34 |        463 |
| view\view_all_student                                                                                                           |          5 |        249 |          0 |         14 |        263 |
| view\view_all_student (Files)                                                                                                   |          1 |         24 |          0 |          2 |         26 |
| view\view_all_student\widgets                                                                                                   |          4 |        225 |          0 |         12 |        237 |
| view\view_all_teacher                                                                                                           |          1 |         89 |          0 |          4 |         93 |
+---------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                                                                                        | language | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\lib\controller\add_new_student_controller.dart                                     | Dart     |         18 |          0 |          5 |         23 |
| c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\lib\controller\dashboard_controller.dart                                           | Dart     |         48 |         19 |         14 |         81 |
| c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\lib\controller\drawer_controller.dart                                              | Dart     |         19 |          0 |          4 |         23 |
| c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\lib\controller\navigations_controller.dart                                         | Dart     |         89 |          2 |         16 |        107 |
| c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\lib\core\constants\app_colors.dart                                                 | Dart     |         18 |          0 |          2 |         20 |
| c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\lib\core\constants\app_font_style.dart                                             | Dart     |        190 |          8 |         25 |        223 |
| c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\lib\core\constants\assets.dart                                                     | Dart     |         61 |        116 |         60 |        237 |
| c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\lib\core\constants\constants.dart                                                  | Dart     |          0 |          0 |          3 |          3 |
| c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\lib\core\enum\enum_pament.dart                                                     | Dart     |          8 |          0 |          0 |          8 |
